Samples; European (Old) NPV; European (Old) Time (s); European (New - Non-constant) NPV; European (New - Non-constant) Time (s); European (New - Constant) NPV; European (New - Constant) Time (s);Asian (Old) NPV; Asian (Old) Time (s); Asian (New - Non-constant) NPV; Asian (New - Non-constant) Time (s); Asian (New - Constant) NPV; Asian (New - Constant) Time (s);Barrier (Old) NPV; Barrier (Old) Time (s); Barrier (New - Non-constant) NPV; Barrier (New - Non-constant) Time (s); Barrier (New - Constant) NPV; Barrier (New - Constant) Time (s)
500;4,19705;0,001372;4,19705;0,003707;4,19705;0,000241;0,778645;0,000957;0,778645;0,00098;0,780436;0,000184;0,305407;0,002499;0,305407;0,001844;0,309201;0,000644
1000;4,22306;0,003003;4,22306;0,00224;4,22306;0,000692;0,731079;0,0023;0,731079;0,002118;0,732791;0,000391;0,277195;0,003618;0,277195;0,003515;0,279092;0,001879
5000;4,14239;0,013397;4,14239;0,011713;4,14239;0,001644;0,71839;0,009286;0,71839;0,011962;0,720111;0,002508;0,280192;0,019075;0,280192;0,022713;0,280945;0,013099
10000;4,17516;0,018474;4,17516;0,017953;4,17516;0,003295;0,718484;0,016508;0,718484;0,017188;0,720204;0,0033;0,267576;0,025815;0,267576;0,026588;0,268097;0,011168
50000;4,15136;0,09407;4,15136;0,096773;4,15136;0,016789;0,723831;0,088607;0,723831;0,095046;0,72556;0,016295;0,274393;0,183677;0,274393;0,162237;0,275202;0,065211
100000;4,16356;0,213943;4,16356;0,193993;4,16356;0,035176;0,73006;0,18025;0,73006;0,178896;0,7318;0,039766;0,27153;0,316885;0,27153;0,269503;0,272449;0,119208
500000;4,17101;0,994772;4,17101;0,99172;4,17101;0,179984;0,728696;0,921982;0,728696;1,01465;0,730432;0,183348;0,273595;1,49932;0,273595;1,52393;0,2748;0,621927
1000000;4,17073;2,05482;4,17073;2,1069;4,17073;0,339154;0,729431;1,8946;0,729431;1,9485;0,731168;0,367987;0,273727;2,9624;0,273727;3,09926;0,274946;1,2292
5000000;4,16733;10,3208;4,16733;10,1623;4,16733;1,90849;0,728807;9,46923;0,728807;9,53476;0,730542;1,93327;0,274119;14,8129;0,274119;14,6062;0,275338;6,07166
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Samples;;;;;;;;;;;;;;;;;;
2,698970004;0;;;;;;;;;;;;;;;;;
3;0;;;;;;;;;;;;;;;;;
3,698970004;0;;;;;;;;;;;;;;;;;
4;0;;;;;;;;;;;;;;;;;
4,698970004;0;;;;;;;;;;;;;;;;;
5;0;;;;;;;;;;;;;;;;;
5,698970004;0;;;;;;;;;;;;;;;;;
6;0;;;;;;;;;;;;;;;;;
6,698970004;0;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Samples;;;;;;;;;;;;;;;;;;
2,698970004;0,001791;5,201086957;;;;;;;;;;;;;;;;
3;0,001712;5,882352941;;;;;;;;;;;;;;;;
3,698970004;0,001721;3,702551834;;;;;;;;;;;;;;;;
4;0,00172;5,002424242;;;;;;;;;;;;;;;;
4,698970004;0,001729;5,43768027;;;;;;;;;;;;;;;;
5;0,00174;4,532766685;;;;;;;;;;;;;;;;
5,698970004;0,001736;5,02859044;;;;;;;;;;;;;;;;
6;0,001737;5,148551443;;;;;;;;;;;;;;;;
6,698970004;0,001735;4,898038039;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Samples;;;;;;;;;;;;;;;;;;
2,698970004;0,003794;3,880434783;;;;;;;;;;;;;;;;
3;0,001897;1,925492283;;;;;;;;;;;;;;;;
3,698970004;0,000753;1,456218032;;;;;;;;;;;;;;;;
4;0,000521;2,311515043;;;;;;;;;;;;;;;;
4,698970004;0,000809;2,816656699;;;;;;;;;;;;;;;;
5;0,000919;2,658252802;;;;;;;;;;;;;;;;
5,698970004;0,001205;2,410765251;;;;;;;;;;;;;;;;
6;0,001219;2,410022779;;;;;;;;;;;;;;;;
6,698970004;0,001219;2,43967877;;;;;;;;;;;;;;;;
